%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
404	174.667	41.5652	0	0	23	1.72102	0.481845	13513
405	175.204	41.9	0	0	22.5	2.04605	0.372159	13546
406	176.229	41.2829	0	0	21.5	2.23423	0.441624	13580
407	176.833	41.6591	0	0	22	-0.660517	0.415152	13613
408	176.833	41.6591	0	0	22	-0.660517	0.415152	13646
409	177.507	41.9314	0	0	25.5	-0.472507	0.620027	13680
410	177.518	42.4561	0	0	19	-0.232002	0.409442	13713
411	177.981	42.9031	0	0	21.5	0.0476839	0.507333	13747
412	178.333	43.3796	0	0	18	0.172794	0.387892	13780
413	179.295	44.7045	0	0	22	0.514918	0.348898	13813
414	179.295	44.7045	0	0	22	0.514918	0.348898	13847
415	179.396	45.137	0	0	22.5	0.633999	0.462165	13880
416	179.197	45.1818	0	0	22	0.7274	0.404325	13913
417	179.197	45.1818	0	0	22	0.7274	0.404325	13947
418	178.699	44.9397	0	0	23.5	0.87016	0.496386	13980
419	178.53	45.6037	0	0	22.5	1.11653	0.432688	14014
420	178.617	45.7583	0	0	20	1.19989	0.418996	14047
421	178.484	45.8089	0	0	20.5	1.20336	0.450781	14080
422	178.863	46.1296	0	0	22.5	1.13589	0.462165	14114
423	179.432	47.0606	0	0	22	1.04253	0.404325	14147
424	180.118	47.9472	0	0	20.5	0.953227	0.421084	14180
425	180.553	48.5	0	0	19	0.926424	0.372419	14214
426	181.217	48.9203	0	0	23	0.862843	0.397134	14247
427	181.217	48.9203	0	0	23	0.862843	0.397134	14280
428	181.779	49.3372	0	0	21.5	0.844269	0.355619	14314
429	182.047	49.7051	0	0	19.5	0.812376	0.374996	14347
430	182.905	50.4048	0	0	21	0.817613	0.452541	14381
640	183.486	49.7837	0	0	23.5	1.30329	0.440023	21388
641	183.226	49.6037	0	0	22.5	1.20739	0.421298	21421
642	182.5	48.8537	0	0	24.5	1.04713	0.471149	21454
643	181.651	48.2381	0	0	21	0.939622	0.452541	21488
644	181.651	48.2381	0	0	21	0.939622	0.452541	21521
645	180.5	47.2121	0	0	22	0.689823	0.47409	21554
646	179.263	46.2185	0	0	22.5	0.661606	0.432688	21588
647	178.053	45.9	0	0	25	0.575093	0.45946	21621
648	176.937	45.537	0	0	22.5	0.447189	0.462165	21654
649	176.105	45.5952	0	0	24.5	0.259645	0.40524	21688
650	176.105	45.5952	0	0	24.5	0.259645	0.40524	21721
651	176.443	46.4106	0	0	20.5	0.139422	0.339078	21755
652	175.527	46.8197	0	0	24.5	-0.0581787	0.458747	21788
653	175.124	47.8548	0	0	15.5	-0.305195	0.290228	21821
654	173.97	48.3462	0	0	19.5	-0.390776	0.400543	21855
655	173.422	49.4078	0	0	23.5	-0.634031	0.531914	21888
656	173.422	49.4078	0	0	23.5	-0.634031	0.531914	21921
657	172.863	50.5074	0	0	22.5	2.31919	0.462165	21955
658	172.5	51.9394	0	0	22	2.12698	0.379868	21988
659	172.624	52.7403	0	0	21.5	2.00615	0.378005	22022
660	172.467	53.8089	0	0	20.5	1.90353	0.409636	22055
661	172.7	55.35	0	0	20	1.648	0.448855	22088
662	172.626	55.6802	0	0	18.5	1.61725	0.436542	22122
663	173.119	55.9603	0	0	21	1.55133	0.439945	22155
664	173.464	57.6802	0	0	18.5	1.49511	0.369671	22188
665	173.675	59.0833	0	0	20	1.4824	0.381604	22222
666	174.252	60.1068	0	0	19.5	1.24526	0.460139	22255
667	174.841	60.5	0	0	21.5	1.09314	0.413457	22288
668	174.841	60.5	0	0	21.5	1.09314	0.413457	22322
669	176.206	61.0794	0	0	21	0.942851	0.485273	22355
670	177.301	61.5064	0	0	26	0.617823	0.509626	22389
671	178.174	61.558	0	0	23	0.497566	0.49564	22422
672	178.879	60.8333	0	0	22	0.236756	0.431222	22455
673	180.77	60.3571	0	0	21	0.0121775	0.37601	22489
674	180.77	60.3571	0	0	21	0.0121775	0.37601	22522
675	181.024	60.0952	0	0	21	-0.0585012	0.471297	22555
676	181.758	59.3707	0	0	24.5	-0.324989	0.43075	22589
677	181.98	58.8008	0	0	20.5	-0.444998	0.421084	22622
